"Month","Year","Not seasonally adjusted (Thousands)...3","Combined seasonal, trading-day factor...4","Seasonally adjusted  (Thousands)...5","Domestic","...7","Not seasonally adjusted (Thousands)...8","Combined seasonal, trading-day factor...9","Seasonally adjusted  (Thousands)...10","Import","month_num","Date"
"May",2014,563.569,120.56,467.451,5.609,NA,210.17,113.7,184.843,2.218,5,2014-05-01
"June",2014,498.936,104.44,477.721,5.733,NA,185.3,100.95,183.565,2.203,6,2014-06-01
"July",2014,479.325,101.7,471.299,5.656,NA,191.107,109.21,174.997,2.1,7,2014-07-01
"August",2014,551.662,110.64,498.617,5.983,NA,195.546,112.39,173.986,2.088,8,2014-08-01
"September",2014,412.001,88.94,463.233,5.559,NA,151.042,90.65,166.623,1.999,9,2014-09-01
"October",2014,427.378,89.06,479.85,5.758,NA,149.994,91.51,163.911,1.967,10,2014-10-01
"November",2014,426.326,86.89,490.644,5.888,NA,150.417,91.41,164.549,1.975,11,2014-11-01
"December",2014,473.112,98.45,480.556,5.767,NA,182.838,105.35,173.557,2.083,12,2014-12-01
"January",2015,386.834,83.86,461.285475792988,5.53542570951586,NA,128.644,80.32,160.164342629482,1.92197211155379,1,2015-01-01
"February",2015,420.099,95.29,440.863679294784,5.29036415153741,NA,137.545,86.94,158.206809293766,1.89848171152519,2,2015-02-01
"March",2015,522.38,113.33,460.937086384894,5.53124503661872,NA,190.995,112.16,170.287981455064,2.04345577746077,3,2015-03-01
"April",2015,480.87,106.6,451.09756097561,5.41317073170732,NA,167.69,104.49,160.484256866686,1.92581108240023,4,2015-04-01
"May",2015,562.881,115.98,485.325918261769,5.82391101914123,NA,183,109.87,166.560480567944,1.99872576681533,5,2015-05-01
"June",2015,491.612,107.61,456.846018028064,5.48215221633677,NA,168.283,104.01,161.795019709643,1.94154023651572,6,2015-06-01
"July",2015,488.057,100.84,483.991471638239,5.80789765965887,NA,164.847,109.03,151.194166743098,1.81433000091718,7,2015-07-01
"August",2015,498.737,106.51,468.253685099991,5.61904422119989,NA,172.093,107.49,160.10140478184,1.92121685738208,8,2015-08-01
"September",2015,448.696,93.33,480.762884388728,5.76915461266474,NA,150.528,95.57,157.505493355656,1.89006592026787,9,2015-09-01
"October",2015,451.545,92.49,488.209536166072,5.85851443399286,NA,149.683,94.38,158.596100868828,1.90315321042594,10,2015-10-01
"November",2015,386.894,82.72,467.715183752418,5.61258220502901,NA,140.269,87.39,160.509211580272,1.92611053896327,11,2015-11-01
"December",2015,472.806,104.42,452.792568473472,5.43351082168167,NA,160.035,112.24,142.582858161083,1.710994297933,12,2015-12-01
"January",2016,361.323,79.36,455.296118951613,5.46355342741935,NA,110.282,75.96,145.184307530279,1.74221169036335,1,2016-01-01
"February",2016,430.166,95.02,452.711008208798,5.43253209850558,NA,126.194,86.98,145.083927339618,1.74100712807542,2,2016-02-01
"March",2016,505.09,119.56,422.457343593175,5.0694881231181,NA,163.6,118.68,137.849679811257,1.65419615773509,3,2016-03-01
"April",2016,450.138,107.58,418.421639709983,5.0210596765198,NA,160.635,105.67,152.015709283619,1.82418851140343,4,2016-04-01
"May",2016,470.149,110.5,425.474208144796,5.10569049773756,NA,157.694,104.54,150.845609336139,1.81014731203367,5,2016-05-01
"June",2016,NA,111.49,NA,NA,NA,NA,107.75,NA,NA,6,2016-06-01
